region,district,area
Northern,Karaga,Djaguhuga
North East,East Mamprusi,Djagugu
Northern,Nanumba North,Djagbemba
Volta,Akatsi District,Djadjefe
Northern,Mion,Diziri
Western,Ahanta West,Dixcove
Western,Unknown,Dix Cove
Western,Mpohor,Diwoye
Upper East,Talensi-Nabdam,Ditimbule
Northern,Karaga,Ditane
Western,Unknown,Disue River Forest Reserve
Western North,Unknown,Disue
Western North,Aowin/Suaman,Disueano
Western North,Aowin/Suaman,Disuaboi
Northern,Savelugu Municipal District,Disiga
Northern,Gushiegu,Dinyogo
Western,Unknown,Dintori
North East,East Mamprusi,Dintige
Western,Wassa Amenfi Central,Dinsinikrom
Ashanti,Unknown,Dinkafa
Northern,Tolon District,Dingoni
Savannah,East Gonja,Dingoni
Bono,Banda,Dingale
Northern,Savelugu Municipal District,Dinga
Northern,Savelugu Municipal District,Dindini
Ashanti,Ejura Sekyedumase,Dindindusi
North East,East Mamprusi,Dindane
Ashanti,Amansie West,Dinchinso
Ashanti,Unknown,Dinchin
Upper West,Sissala East,Dimosan
Northern,Karaga,Dimie
Northern,Karaga,Dime
Northern,Sagnerigu,Dimalla
Upper West,Lawra,Dikpe
Ashanti,Sekyere South,Dikan
Upper East,Kassena Nankana,Digongo
Savannah,Central Gonja,Digma
Northern,Tamale,Difa
Western,Wassa Amenfi East,Diewum
Ashanti,Atwima Nwabiagya,Dienyamibeka
Volta,Adaklu,Didokogli
Northern,Mion,Didjo
Ashanti,Sekyere Central,Diditiasi
Western,Unknown,Dida
Ashanti,Sekyere Central,Dida
Ashanti,Atwima Kwanwoma,Dida
Northern,Karaga,Dibulo
Western,Unknown,Dibore
North East,West Mamprusi,Dibisi
Savannah,Bole,Dibere
Ashanti,Obuasi,Diewieso
Central,Upper Denkyira West,Diaso
Northern,Savelugu Municipal District,Diari
Bono,Unknown,Diapoli
North East,West Mamprusi,Diani
Volta,North Dayi,Dianda
North East,Chereponi,Diana
Western,Jomoro,Diamos
Bono,Dormaa West,Diabakurom
Upper West,Jirapa,Dia
Eastern,Akuapim North,Dewu Asaman
Ashanti,Sekyere South,Dewu
Bono,Jaman North,Dawuri
Volta,Ketu North District,Devergu
Volta,Keta,Devenu
Volta,Central Tongu,Deveme
Eastern,Asuogyaman,Deveme
Volta,Akatsi District,Deve
Volta,North Tongu,Deve
Volta,Keta,Detom
Volta,Ho West,Deto
Ashanti,Bosome Freho,Detieso
Ashanti,Bekwai,Detiedi
Volta,Keta,Deta
Volta,South Tongu District,Desakwe
Volta,South Tongu District,Depo
Ashanti,Unknown,Depim
Ashanti,Bekwai,Denyase
Western,Tarkwa Nsuaem,Denyasi
Western,Wassa Amenfi West,Denyas
Ashanti,Adansi South,Denyansakrom
Ashanti,Atwima Nwabiagya,Denyamiso
Volta,Unknown,Denu Lagoon
Volta,Ketu South District,Denu
Oti,Krachi East,Dentu
Eastern,Akyemansa,Dentu
Western,Nzema East,Elentusuazo
Ashanti,Offinso Municipal District,Dentin
Western North,Aowin/Suaman,Dentibaso
Bono,Sunyani West,Dentia
Bono East,Atebubu-Amantin District,Denteso
Ashanti,Asante Akim North,Dente
Eastern,Suhum/Kraboa/Coaltar,Densuso
Eastern,Kwahu Afram Plains South,Densubon
Greater Accra,Unknown,Densu
Volta,Ketu South District,Donomadi
Ahafo,Tano South,Denma
Savannah,North Gonja,Denkerepe
Bono East,Nkoranza South,Denjwa
Northern,Mion,Denie
Volta,South Tongu District,Dendo
Ahafo,Unknown,Dendan
Ahafo,Tano North,Denden
Central,Gomoa West,Denchira
Central,Ajumako/Enyan/Essiam,Denchinua
Ashanti,Sekyere Afram Plains,Dencherewi
Eastern,Birim Central,Dencherakuso
Western North,Aowin/Suaman,Denchera
Ashanti,Kumasi,Denkyemmoso
North East,West Mamprusi,Denbuli
Eastern,Kwahu Afram Plains South,Demuso
Eastern,Kwahu South,Demuni
Northern,Saboba,Demon
Volta,Ho,Demete
Volta,Ketu North District,Demakope
Volta,Hohoe,Deme
Volta,Afadzato South,Deme
Volta,Ho West,Deme
Volta,Ho,Deme
Volta,Ketu North District,Deme
Volta,South Tongu District,Deme
Upper West,Wa West,Delaniyiri
Upper East,Garu District,Dekuliga
Volta,North Tongu,Dekpwe
Northern,Gushiegu,Dekpunga
Volta,South Tongu District,Dekpota
Volta,Adaklu,Dekpo
Volta,North Tongu,Dekpo
Volta,Ketu North District,Dekpo
Ashanti,Bosome Freho,Dejanso
Ashanti,Atwima Kwanwoma,Deikurom
Eastern,Akuapim South,Deigo
Savannah,Sawla-Tuna-Kalba,Degbiwu
Bono,Tain,Degedege
Upper West,Unknown,Degbegli
Northern,Nanumba North,Degbawa
Upper East,Pusiga,Dega
Oti,Nkwanta South,Deflemkpa
Greater Accra,Shai Osudoku District,Dedukope
Ashanti,Kumasi,Deduako
Ashanti,Ejisu Juaben,Deduako
Ashanti,Bosomtwe,Deduako
Greater Accra,Ada East,Dedo
Ashanti,Bosomtwe,Dedesua
Eastern,Fanteakwa,Dedeso Wireko Number 2
Eastern,Fanteakwa,Dedeso Wireko Number 1
Eastern,Kwahu Afram Plains South,Dedeso
Central,Twifo Ati-Morkwa,Dedemede
Greater Accra,Ga West,Dedeman
Greater Accra,Ada East,Dedekope
Volta,Central Tongu,Dedabtakope
Ashanti,Obuasi,Dekyewa
Western,Unknown,Dechi
Western,Wassa Amenfi Central,Dechi
Volta,South Tongu District,Dechawome
North East,Bunkpurugu Nakpanduri District,Deboni
Savannah,East Gonja,Deboko
Northern,Karaga,Deble
Western North,Bia,Debiso
Central,Gomoa West,Debiso
Ashanti,Asante Akim South District,Debiso
Western North,Aowin/Suaman,Debiso
Central,Gomoa West,Debisa
Bono,Tain,Dibiribi
Western,Unknown,Debe
North East,East Mamprusi,Debari
Savannah,East Gonja,Deba
Western,Secondi Takoradi,Deabenekrom
Volta,North Dayi,Dayinu
Ashanti,Amansie West,Dawusaso
Central,Ajumako/Enyan/Essiam,Dawurampong
Central,Gomoa West,Dawurampong
Ashanti,Amansie West,Dawurampong
Ashanti,Ahafo Ano South,Deteem
Upper East,Garu District,Dawsikom
Greater Accra,Shai Osudoku District,Dawsi
Greater Accra,Shai Osudoku District,Dawmelan
Volta,South Tongu District,Dawkplame
Ashanti,Asante Akim North,Dawireso
Western North,Aowin/Suaman,Dawi
Greater Accra,Shai Osudoku District,Dawhwenya
Greater Accra,Shai Osudoku District,Dawhe
Eastern,Upper Manya Krobo,Dawa Trim
Eastern,Upper Manya Krobo,Dawa Pawtraw
Western,Prestea-Huni Valley,Dawanso
Eastern,Upper Manya Krobo,Dawa Jakoru
Bono East,Kintampo North Municipal District,Dawadawa
Eastern,Upper Manya Krobo,Dawa Amanfro
Eastern,Upper Manya Krobo,Dawa Akanasi
Eastern,Upper Manya Krobo,Dawa Abrodem
Greater Accra,Shai Osudoku District,Dawa
Eastern,Akuapim South,Dawa
Eastern,Upper Manya Krobo,Dawa
Volta,Agotime Ziope,Dauve
Western North,Aowin/Suaman,Daura
Volta,Akatsi South,Daulo
Eastern,Asuogyaman,Datroko
Upper East,Talensi-Nabdam,Datoko
Volta,Afadzato South,Datem
Ashanti,Sekyere South,Okrakurom
Western North,Bodi,Datano
Ashanti,Amansie West,Datano
Western North,Sefwi-Wiawso,Datano
Western,Wassa Amenfi West,Datano
Upper West,Lawra,Dazugri
Upper East,Garu District,Dasubansi
Upper West,Sissala West,Dasima
Eastern,Asuogyaman,Dasasi
Northern,Tolon District,Dasang
Upper West,Jirapa,Dariyiri
North East,East Mamprusi,Dareba
Western,Unknown,Dara
Northern,Savelugu Municipal District,Dapali
Oti,Kadjebi,Dapa
Northern,Yendi,Danyo
Volta,North Dayi,Danyigba
Ashanti,Unknown,Danyami
Upper East,Garu District,Danvorga
Volta,Akatsi District,Danukofe
Upper East,Garu District,Danugu
Central,Asikuma/Odoben/Brakwa,Dantasi
Ahafo,Asunafo South,Dantano
Western North,Bibiani/Ahwiaso/Bekwai,Dansukrom
Western,Jomoro,Dansokrom
Ashanti,Offinso North,Danso
Ashanti,Bosome Freho,Danso
Eastern,Upper West Akim,Danso
Central,Assin North,Dansami
Volta,Ketu South District,Danome
Central,Awutu Senya,Dankwakrom
Central,Gomoa East,Dankwakrom
Western North,Aowin/Suaman,Dankwabodia Dankamobwadie
Western,Wassa Amenfi West,Dankwa
Ashanti,Bekwai,Adankranya
Central,Ajumako/Enyan/Essiam,Danko
Upper East,Bawku West,Danguna
Western North,Aowin/Suaman,Dangoru
Greater Accra,Ga East,Danfa
Western North,Bodi,Danehemoso
Greater Accra,Ga South,Dantsera
Ashanti,Asante Akim South District,Dampong
Ashanti,Unknown,Dampia Range Forest Reserve
Ashanti,Adansi North,Dampaiyo
Ashanti,Adansi South,Dampaiyao
Greater Accra,Ga South,Dampa
Savannah,West Gonja,Damongo
Ashanti,Asante Akim South District,Damene
Northern,Savelugu Municipal District,Damdu
Northern,Gushiegu,Damdabole
North East,Chereponi,Dambu
Upper East,Builsa South,Dambrunsi
Greater Accra,Accra,Tunga
Central,Assin South,Damawaku
Savannah,Unknown,Damasa
Eastern,Birim South,Damaoko
Western,Prestea-Huni Valley,Damang Station
Western,Wassa Amenfi East,Damang
Central,Twifo Ati-Morkwa,Damang
Western,Prestea-Huni Valley,Damang
Central,Assin South,Damang
Central,Gomoa West,Damang
Central,Abura/Asebu/Kwamankese,Damang
Northern,Kumbumgu,Dallung
Volta,South Tongu District,Dalive
Volta,Ketu North District,Dalikofe
Volta,Central Tongu,Dalapue
Central,Awutu Senya East Municipal,Darkoyaw
Ashanti,Asante Akim South District,Dakuakrom
Upper West,Wa West,Daku
Ashanti,Atwima Kwanwoma,Daku
Northern,Tamale,Dakrubongo
Upper East,Kassena Nankana West,Dakrenia
Volta,Akatsi District,Dakpa
Volta,Central Tongu,Dakpa
Ashanti,Asante Akim North,Dakongwamso
Savannah,Bole,Dakomiran
Greater Accra,Unknown,Dakkobi
Upper East,Bolgatanga Municipal District,Dakiu
Eastern,Lower Manya Krobo,Dakekome
Ashanti,Sekyere East,Dakawhu
Western,Prestea-Huni Valley,Dakakuma
Northern,Unknown,Dakakombo
Ashanti,Bosome Freho,Dakabuoso
Western,Ellembelle,Dajwin
Western,Tarkwa Nsuaem,Dajwin
Western,Nzema East,Dadwen
Oti,Kadjebi,Dain
Volta,Akatsi South,Dahumekofe
Central,Gomoa East,Dahum
Ashanti,Mampong,Daho
Upper West,Nadowli,Dapori
Savannah,East Gonja,Dogonkede
Northern,Unknown,Dagomba
Upper West,Unknown,Dagere
North East,East Mamprusi,Dagbiribogri
Volta,Ketu North District,Dagbalekofe
Ashanti,Asante Akim South District,Dagatikrom
Northern,Karaga,Dagago
Volta,Kpando,Dagadukofe
Volta,Afadzato South,Dafon
Bono East,Sene East,Dafo
Volta,Kpando,Dafo
Volta,Afadzato South,Dafo
Upper West,Daffiama Bussie Issa District,Daffiama
Volta,Akatsi South,Dafawmyame
North East,West Mamprusi,Dafanga
Volta,North Tongu,Dadomi
Volta,Adaklu,Dadome
Volta,Central Tongu,Dadobui
Volta,Agotime Ziope,Dadipedo
Central,Agona East,Dadija
Ahafo,Asutifi South,Dadiesoaba
Central,Assin South,Dadieso
Bono,Jaman North,Adadeem
Western North,Suaman,Dadeeso
Oti,Nkwanta South,Dadiasi
Ashanti,Sekyere Central,Dadiasi
Ashanti,Sekyere Afram Plains,Dadiasi
Ashanti,Bekwai,Dadiase
Western,Wassa Amenfi East,Dadeeso Number One
Western,Ahanta West,Dadiasi
Volta,Ho,Dadi
Eastern,Lower Manya Krobo,Dadehnovinya
Volta,Akatsi District,Dadame
Central,Komenda/Edina/Eguafo/Abirem,Dabri
North East,West Mamprusi,Daboya
Savannah,North Gonja,Daboya
Ashanti,Afigya-Kwabre District,Daboa
Savannah,Sawla-Tuna-Kalba,Dabori
Savannah,Central Gonja,Dabopi
Western,Mpohor/Wassa East,Daboasi
Upper East,Pusiga,Dabia
Central,Gomoa East,Dabeyin
Central,Twifo Hemang Lower Denkyira,Dabenda
Volta,South Tongu District,Dabala
North East,East Mamprusi,Dabadini
Ashanti,Atwima Nwabiagya,Dabaa
Ashanti,Sekyere South,Daa
Ashanti,Unknown,Da
Ashanti,Bekwai,Daa
Western,Wassa Amenfi West,Asankran Oda
Central,Cape Coast,Cape Coast
Ahafo,Tano North,Twewoho
Eastern,Nsawam Adoagyiri,Chwinto
Ahafo,Asutifi South,Chwibiri
Bono East,Techiman North District,Chwibia
Bono,Dormaa,Tweapease
Eastern,Upper Manya Krobo,Chwerebuana
Greater Accra,Ga West,Chwerebuana
Western,Wassa Amenfi East,Chwapiasi
Central,Twifo Ati-Morkwa,Chwapiasi
Savannah,North Gonja,Chatali
Northern,Unknown,Chupa
Greater Accra,Shai Osudoku District,Chunkpo
Savannah,East Gonja,Chungasi
Upper West,Lambussie Karni,Chung
North East,Chereponi,Chunbawso
Greater Accra,Shai Osudoku District,Chumwanawyu
Ashanti,Sekyere Afram Plains,Chumabin
Eastern,Akuapim North,Chum
Bono,Banda,Chuli
Greater Accra,Accra,North Ordokor
Upper East,North Builsa District,Chuchiliga
Ashanti,Amansie Central,Chuaso
Western,Ellembelle,Chuansi
Central,Assin North,Chuanka
Greater Accra,Shai Osudoku District,Chuana
Ashanti,Unknown,Chua
Western,Ellembelle,Chrobo
Greater Accra,Accra,Christian Village
Greater Accra,Accra,Christiansborg
Western North,Aowin/Suaman,Chreu
Central,Upper Denkyira West,Chremekrom
Western,Prestea-Huni Valley,Yamiriwa
Volta,Central Tongu,Chowula
Greater Accra,Shai Osudoku District,Chondawnya
Bono,Banda,Choncho
Greater Accra,Shai Osudoku District,Chomina
Greater Accra,Ga South,Chokome
Volta,Ketu North District,Chiyinu
Volta,Ho West,Chive
Volta,Akatsi South,Chive
Volta,South Tongu District,Chivania
Volta,Adaklu,Chirive
Eastern,Akuapim South,Chiripon
Western,Tarkwa Nsuaem,Chirinyenyim
Bono East,Kintampo North Municipal District,Chirinbindasi
Central,Gomoa West,Chirin
Ashanti,Mampong,Chirimfaso
Volta,Agotime Ziope,Chirigoni
North East,East Mamprusi,Chirifoyiri
Western North,Unknown,Chirifi
Central,Gomoa East,Chiribuanda
Bono East,Kintampo North Municipal District,Chiribrino
Bono,Sunyani,Chiriboja
Western,Tarkwa Nsuaem,Chiriamang
Western,Prestea-Huni Valley,Chirewu
Central,Twifo Ati-Morkwa,Chirenkumso
Central,Upper Denkyira East,Chirenkumso
Ashanti,Sekyere Afram Plains,Chireni
Bono East,Pru,Chirembo
Eastern,Birim Central,Chiremasinashia
Ashanti,Bosome Freho,Chiremabunuso
Bono East,Kintampo South District,Chirehi
Eastern,Kwahu Afram Plains South,Chirebuo
Upper West,Sissala East,Chirebunge
Ashanti,Adansi North,Chirebroso
Central,Upper Denkyira East,Chirebraso
Ashanti,Amansie West,Chireayowa
Ashanti,Atwima Mponua,Kyirayaso
Ashanti,Kumasi,Kyirapatere
Western North,Bibiani/Ahwiaso/Bekwai,Kyerano
Bono East,Kintampo North Municipal District,Kyiranda
Western,Wassa Amenfi West,Chiranam
Ashanti,Unknown,Kyirayaa
Bono East,Nkoranza South,Chiradeso
Bono,Sunyani West,Kyerra
Central,Assin South,Chinso
Central,Assin North,Chinsa
Volta,Ho West,Chinow
Ashanti,Sekyere Afram Plains,Chinhia
Western North,Unknown,Kyine
Oti,Krachi Nchumuru,Chindiri
Eastern,Kwahu East,Chinchira
Eastern,Birim North,Chinchinku
Ashanti,Atwima Mponua,Chinchia Bepo
Upper West,Sissala East,Chincha
Central,Assin South,Chinaso
Central,Awutu Senya,Chinankama
Bono,Unknown,Kyimara
Western North,Aowin/Suaman,Chimasikrom
Volta,North Tongu,Chikpe
Volta,Akatsi South,Chigbeni
Ashanti,Ahafo Ano North,Kyekyewere
Ashanti,Mampong,Chichiwere
Ashanti,Atwima Nwabiagya,Kyekyewere
Ashanti,Atwima Mponua,Kyekyewere
Ashanti,Asante Akim North,Chichiwere
Ashanti,Bekwai,Kyekyewere
Eastern,Birim North,Chichiwere
Western North,Sefwi Akontobra,Atakrom
Ashanti,Adansi South,Chichiwere
Eastern,Ayensuano,Chichiwere
Central,Upper Denkyira East,Kyekyewere
Eastern,Upper West Akim,Chichiwere
Western,Wassa Amenfi East,Chichiwere
Central,Assin North,Chichiwere
Central,Agona West,Chichiwere
Western,Prestea-Huni Valley,Chichiwere
Central,Assin South,Chichiwere
Western,Mpohor/Wassa East,Chichiwere
Western,Tarkwa Nsuaem,Kyekyewere
Volta,North Tongu,Chichiklakpo
Eastern,Birim South,Chichibong
Ashanti,Sekyere Central,Chichibon
Ashanti,Asante Akim North,Chichibiasi
Volta,South Tongu District,Chichekope
Northern,Nanumba South,Chichari
Greater Accra,Shai Osudoku District,Chicha
Volta,North Tongu,Chibukofe
Eastern,Asuogyaman,Chiasi
Eastern,Birim Central,Chiapiasi
Western,Wassa Amenfi East,Chiamekrom
Western,Prestea-Huni Valley,Nyaminkum
Central,Mfatseman,Chiakaw
Central,Assin North,Chiaka
North East,Mamprugo Moaduri District,Chia
Eastern,Akyemansa,Chia
Upper West,Wa,Chansa
Ashanti,Sekyere Central,Cheriasi
North East,Chereponi,Chereponi
Upper West,Nadowli,Cherepon
Greater Accra,Shai Osudoku District,Cherekecherete
North East,Chereponi,Chere-Drakankanu
Ashanti,Adansi South,Cherebuana
Central,Assin North,Cherebuana
Western,Wassa Amenfi East,Cherebo
North East,Chereponi,Chere
Northern,Mion,Cheogu
Eastern,Ayensuano,Chenkudebi
Bono,Tain,Kyenkyu
Ashanti,Asante Akim North,Chenchenku
Ashanti,Amansie West,Chenchenasi
Ashanti,Bosome Freho,Chenchenasi
Bono,Unknown,Kyen
Western,Wassa Amenfi West,Chemuso
Greater Accra,Unknown,Chemu Lagoon
Western,Unknown,Kyemu
Bono,Dormaa East,Kyeremasu
Ashanti,Asante Akim South District,Chempaw Praso
Ashanti,Asante Akim South District,Chempaw
Eastern,Kwahu North,Chemfe
Volta,Adaklu,Cheme
North East,West Mamprusi,Chema
Northern,Mion,Chelli
Central,Assin North,Cheikrom
Western,Jomoro,Cheikrom
Northern,Sagnerigu,Cheggo
Northern,Saboba,Chegbani
Ashanti,Ahafo Ano South,Twetweamoah
Central,Mfatseman,Chechi
Central,Twifo Ati-Morkwa,Chechewere
Ashanti,Asante Akim North,Checherebuaso
Volta,North Tongu,Chechepwe
Volta,Hohoe,Chebi
Ashanti,Sekyere Central,Chebi
Central,Gomoa East,Chebi
Central,Ajumako/Enyan/Essiam,Chebi
Upper West,Lambussie Karni,Cheboggo
Upper East,North Builsa District,Chaza
Upper West,Wa East,Chawuli
Western,Ahanta West,Kyiavani
Upper West,Sissala East,Chato
Savannah,Sawla-Tuna-Kalba,Chasia
Upper West,Wa East,Charingu
Upper West,Wa,Charia
Oti,Krachi West,Chareso
Upper West,Jirapa,Chepuri
Northern,Kumbumgu,Chantung
North East,Chereponi,Chantendi
Greater Accra,Accra,Lapaz
Upper East,Builsa South,Chansia
Upper East,Kassena Nankana West,Chania
Upper West,Nadowli,Changu
Savannah,East Gonja,Changbuni
Upper East,Builsa South,Changanesi
Upper West,Nadowli,Chang
Savannah,East Gonja,Chandayili
North East,Chereponi,Chanchango
Savannah,East Gonja,Chanbulugu
Upper East,Kassena Nankana West,Chana
Western,Tarkwa Nsuaem,Chamso
Central,Agona West,Chamimensakura
Volta,South Dayi,Chameyi
Northern,Nanumba North,Chamba
Savannah,Central Gonja,Chama
Upper West,Daffiama Bussie Issa District,Chala
Upper West,Wa West,Chogosia
Volta,Central Tongu,Chakpo
North East,Bunkpurugu Nakpanduri District,Chakotinge
Northern,Kpandai,Chakori
Northern,Gushiegu,Chakoja
Oti,Nkwanta South,Chaiso
Upper West,Wa East,Chago
North East,Bunkpurugu Nakpanduri District,Chagbanga
Volta,South Tongu District,Chachukope
Savannah,Bole,Chache
Western,Wassa Amenfi West,Chabiajo
Central,Unknown,Central Region
Volta,North Tongu,Casave
Savannah,Bole,Kapenta
Western,Unknown,Cape Three Points Forest Reserve
Greater Accra,Ada East,Bwetakope
Bono,Banda,Bwaw
Upper East,Kassena Nankana West,Bwania
Upper East,Kassena Nankana,Bonia
North East,East Mamprusi,Buzulungu
Northern,Kpandai,Buya
Ashanti,Sekyere Afram Plains,Butuasi
Ashanti,Unknown,Butu
Central,Asikuma/Odoben/Brakwa,Butu
Western,Ahanta West,Butre Point
Western,Unknown,Butre
Western,Ahanta West,Butre
Northern,Saboba,Butoe
Savannah,Central Gonja,Butie
Ashanti,Bosome Freho,Bute
Western North,Aowin/Suaman,Butandokrom
Bono East,Nkoranza North District,Busunya
Savannah,West Gonja,Busunu
Central,Komenda/Edina/Eguafo/Abirem,Busum-Aye
Western,Ahanta West,Busua
Central,Awutu Senya,Busomabina
Upper West,Daffiama Bussie Issa District,Busie
Upper West,Sissala West,Puzene
Western,Wassa Amenfi West,Busafakrom
Savannah,North Gonja,Busa
Upper West,Wa,Busa
Western,Wassa Amenfi Central,Buruso
Northern,Tolon District,Burumani
Savannah,Unknown,Burumankute
Eastern,Kwahu South,Buruku
Western North,Aowin/Suaman,Burukrom
North East,East Mamprusi,Burugu
Upper West,Nandom,Burutu
Upper West,Lawra,Birufo
Central,Gomoa East,Buruata
Greater Accra,Accra,Burma Camp
Western,Unknown,Buri
Oti,Biakoye,Burbulakofe
Western,Unknown,Bura River Forest Reserve
North East,Chereponi,Buramamate
Oti,Krachi Nchumuru,Burai
Western,Unknown,Bura
Central,Twifo Hemang Lower Denkyira,Bupontsin
Eastern,Ayensuano,Bupoasi
Eastern,Upper West Akim,Bupoasi
Bono East,Techiman Municipal District,Buoyem
Bono East,Nkoranza North District,Buoso
Central,Twifo Ati-Morkwa,Buokwadjo
Bono,Dormaa,Aboabo Number Four
Ashanti,Kumasi,Buokurom
Eastern,Nsawam Adoagyiri,Buokrom
Ashanti,Mampong,Buoansa
Ashanti,Ejura Sekyedumase,Bunyum
Western,Wassa Amenfi Central,Bonuama
Eastern,West Akim,Bunuso
Western,Tarkwa Nsuaem,Bunuso
Eastern,East Akim,Bunsu
Eastern,Birim South,Bunso
Ashanti,Ahafo Ano South,Bonsamuo
Greater Accra,Ga South,Bunmu
North East,Bunkpurugu Nakpanduri District,Bunkpurugu
Volta,South Tongu District,Bunikoshikope
Bono,Jaman North,Buni
Savannah,North Gonja,Bungeli
Northern,Savelugu Municipal District,Bunlung
North East,Bunkpurugu Nakpanduri District,Bungbonkurugu
Bono,Banda,Bungasi
Savannah,East Gonja,Bung
Northern,Gushiegu,Bundure
Greater Accra,Shai Osudoku District,Bundase
North East,Bunkpurugu Nakpanduri District,Bunbon
Ashanti,Sekyere Afram Plains,Bunaso
Volta,Hohoe,Bume
North East,Bunkpurugu Nakpanduri District,Bumbuna
North East,East Mamprusi,Bumbuazio
Western North,Aowin/Suaman,Bumaso
Bono East,Pru,Buma
Upper East,Bawku West,Bulunga
Upper East,Pusiga,Bulugu
Northern,Gushiegu,Bulugu
Upper East,Garu District,Bulpielise
Northern,Tamale,Bulpiela
Volta,North Tongu,Bulomon
North East,East Mamprusi,Bulkwere
Upper West,Wa East,Bulenga
North East,West Mamprusi,Bulibia
Western,Jomoro,Bulazo
Northern,Kumbumgu,Bulawn
Ashanti,Amansie Central,Bukwaman
Eastern,Yilo Krobo,Bukuso
Eastern,Kwahu South,Bukuruwa
Eastern,Upper Manya Krobo,Bukunaw
Eastern,Yilo Krobo,Bukunaw
Bono,Tain,Buku
Ashanti,Atwima Kwanwoma,Boko
Central,Twifo Hemang Lower Denkyira,Bukruso
Western,Mpohor/Wassa East,Bukruso
Western,Unknown,Bukuru
Eastern,Upper Manya Krobo,Bukrom
Bono,Jaman North,Buko
Upper East,Bolgatanga Municipal District,Bukere
Upper West,Sissala East,Bujan
Savannah,Central Gonja,Old Buipe
Bono,Banda,Bui
Ashanti,Sekyere Afram Plains,Buhuri
Upper East,Garu District,Bugwia
Upper East,Garu District,Bugri
Northern,Karaga,Bugulugu
Upper East,Bawku West,Bugula
Upper West,Wa East,Bugu
Upper East,Bawku West,Bugori
North East,West Mamprusi,Bugeya
Volta,Ketu South District,Bugbumi
Upper West,Sissala East,Buguboi
Volta,Ketu South District,Bugbala
Savannah,North Gonja,Bugay
Upper East,Bawku West,Bugade
Central,Ajumako/Enyan/Essiam,Budukwa
Volta,Kpando,Budubudu
Eastern,Akuapim South,Budu
Ashanti,Adansi North,Buda
Central,Twifo Hemang Lower Denkyira,Bubu
Central,Agona East,Buawoma
Western,Wassa Amenfi East,Buatum
